Folder Name,batch_size,learning_rate,dropout_rate,n_hidden_layers,first_layer_nodes,epochs,patience,Test Accuracy,Test F1 Score,Test Precision,Test Recall,Test Loss,Validation Loss Min,Validation Accuracy Max,Validation F1 Max,VALIDATION MACRO F1,Val F1 @ Min Loss
BS_32_LR_0.001_DO_0.2_FLN_64_EP_100_PAT_15_HL_2,32,0.001,0.2,2,64,100,15,0.987,0.987,0.9873,0.987,0.0762,0.0575,0.992,0.992,0.9918,0.9920047836911335
BS_128_LR_0.001_DO_0.4_FLN_64_EP_100_PAT_15_HL_2,128,0.001,0.4,2,64,100,15,0.988,0.988,0.9883,0.988,0.0782,0.0564,0.992,0.992,0.9908,0.9910069785961144
BS_32_LR_0.001_DO_0.4_FLN_128_EP_100_PAT_15_HL_3,32,0.001,0.4,3,128,100,15,0.987,0.987,0.9872,0.987,0.0859,0.0623,0.9905,0.9905,0.9903,0.9905047018053634
BS_32_LR_0.0001_DO_0.3_FLN_256_EP_100_PAT_15_HL_2,32,0.0001,0.3,2,256,100,15,0.986,0.986,0.9862,0.986,0.0804,0.0556,0.993,0.993,0.9898,0.9900046105545888
BS_32_LR_0.01_DO_0.2_FLN_128_EP_100_PAT_15_HL_2,32,0.01,0.2,2,128,100,15,0.988,0.988,0.9882,0.988,0.0674,0.0638,0.99,0.99,0.9896,0.9900017411583608
BS_64_LR_0.0001_DO_0.3_FLN_128_EP_100_PAT_15_HL_3,64,0.0001,0.3,3,128,100,15,0.984,0.984,0.9843,0.984,0.0772,0.0561,0.991,0.991,0.9893,0.9895066259399595
BS_64_LR_0.001_DO_0.2_FLN_128_EP_100_PAT_15_HL_3,64,0.001,0.2,3,128,100,15,0.987,0.987,0.9872,0.987,0.0707,0.0541,0.989,0.989,0.9888,0.9890043040189413
BS_128_LR_0.001_DO_0.2_FLN_128_EP_100_PAT_15_HL_2,128,0.001,0.2,2,128,100,15,0.984,0.984,0.9842,0.984,0.0834,0.0628,0.9885,0.9885,0.9883,0.9885040793638042
BS_64_LR_0.001_DO_0.3_FLN_64_EP_100_PAT_15_HL_3,64,0.001,0.3,3,64,100,15,0.986,0.986,0.9862,0.986,0.0776,0.0559,0.9885,0.9885,0.9881,0.9885015559917135
BS_32_LR_0.0001_DO_0.2_FLN_128_EP_100_PAT_15_HL_3,32,0.0001,0.2,3,128,100,15,0.987,0.987,0.9872,0.987,0.0724,0.0522,0.991,0.991,0.9878,0.9880077995247554
BS_128_LR_0.0001_DO_0.3_FLN_256_EP_100_PAT_15_HL_2,128,0.0001,0.3,2,256,100,15,0.983,0.983,0.9834,0.983,0.0948,0.0701,0.988,0.988,0.9877,0.9880078942536504
BS_64_LR_0.001_DO_0.3_FLN_256_EP_100_PAT_15_HL_3,64,0.001,0.3,3,256,100,15,0.984,0.984,0.9843,0.984,0.0836,0.0604,0.989,0.989,0.9863,0.9865051967903522
