Folder Name,batch_size,learning_rate,dropout_rate,epochs,patience,Test Accuracy,Test F1 Score,Test Precision,Test Recall,Test Loss,Validation Loss Min,Validation Accuracy Max,Validation F1 Max,VALIDATION MACRO F1,Val F1 @ Min Loss
BS_64_LR_0.001_DO_0.2_EP_100_PAT_15,64,0.001,0.2,100,15,0.987,0.9865,0.9871,0.986,0.0606,0.0642,0.9895,0.9895,,0.9820816881881832
BS_128_LR_0.001_DO_0.2_EP_100_PAT_15,128,0.001,0.2,100,15,0.985,0.9845,0.9851,0.984,0.0602,0.0646,0.9895,0.9895,,0.9825826599734493
BS_32_LR_0.0001_DO_0.2_EP_100_PAT_15,32,0.0001,0.2,100,15,0.986,0.985,0.985,0.985,0.0628,0.0649,0.9915,0.9915,,0.9810842147028698
BS_64_LR_0.0001_DO_0.2_EP_100_PAT_15,64,0.0001,0.2,100,15,0.983,0.9822,0.982,0.9823,0.07,0.0682,0.99,0.99,,0.9805832531765899
BS_32_LR_0.001_DO_0.2_EP_100_PAT_15,32,0.001,0.2,100,15,0.985,0.9845,0.9851,0.984,0.0639,0.0682,0.99,0.99,,0.9790735430869486
BS_128_LR_0.001_DO_0.3_EP_100_PAT_15,128,0.001,0.3,100,15,0.986,0.9855,0.9861,0.985,0.0623,0.0686,0.993,0.993,,0.9790767616176357
BS_32_LR_0.0001_DO_0.3_EP_100_PAT_15,32,0.0001,0.3,100,15,0.985,0.9842,0.984,0.9843,0.0663,0.069,0.99,0.99,,0.9820858448767096
BS_64_LR_0.001_DO_0.4_EP_100_PAT_15,64,0.001,0.4,100,15,0.984,0.9837,0.9841,0.9833,0.0682,0.0724,0.99,0.99,,0.9810819379696245
BS_64_LR_0.001_DO_0.3_EP_100_PAT_15,64,0.001,0.3,100,15,0.985,0.9847,0.9851,0.9843,0.0684,0.0727,0.9895,0.9895,,0.9810842147028698
BS_64_LR_0.0001_DO_0.3_EP_100_PAT_15,64,0.0001,0.3,100,15,0.984,0.9832,0.9831,0.9833,0.0764,0.0739,0.9865,0.9865,,0.9810842147028698
BS_32_LR_0.001_DO_0.3_EP_100_PAT_15,32,0.001,0.3,100,15,0.982,0.9812,0.981,0.9813,0.0709,0.0741,0.9865,0.9865,,0.9790797263664771
BS_32_LR_0.0001_DO_0.4_EP_100_PAT_15,32,0.0001,0.4,100,15,0.984,0.983,0.983,0.983,0.0676,0.0744,0.988,0.988,,0.9805808138829457
BS_128_LR_0.01_DO_0.2_EP_100_PAT_15,128,0.01,0.2,100,15,0.984,0.9835,0.9841,0.983,0.0754,0.0751,0.981,0.981,,0.9751547681842373
BS_128_LR_0.001_DO_0.4_EP_100_PAT_15,128,0.001,0.4,100,15,0.984,0.9837,0.9841,0.9833,0.0678,0.078,0.986,0.986,,0.9820838744064686
BS_128_LR_0.0001_DO_0.2_EP_100_PAT_15,128,0.0001,0.2,100,15,0.98,0.979,0.9781,0.98,0.0815,0.0783,0.9845,0.9845,,0.9754037997751261
BS_128_LR_0.0001_DO_0.3_EP_100_PAT_15,128,0.0001,0.3,100,15,0.981,0.9797,0.979,0.9803,0.0816,0.0797,0.9895,0.9895,,0.9770733494392185
BS_64_LR_0.0001_DO_0.4_EP_100_PAT_15,64,0.0001,0.4,100,15,0.983,0.9822,0.982,0.9823,0.074,0.0801,0.9895,0.9895,,0.977578411542189
BS_32_LR_0.001_DO_0.4_EP_100_PAT_15,32,0.001,0.4,100,15,0.983,0.9827,0.9831,0.9823,0.08,0.081,0.983,0.983,,0.978082687313948
BS_128_LR_0.01_DO_0.3_EP_100_PAT_15,128,0.01,0.3,100,15,0.983,0.9827,0.9831,0.9823,0.0857,0.0832,0.987,0.987,,0.9725505289429582
BS_64_LR_0.01_DO_0.2_EP_100_PAT_15,64,0.01,0.2,100,15,0.983,0.9815,0.981,0.982,0.0844,0.0867,0.9855,0.9855,,0.9793297784406366
BS_32_LR_0.01_DO_0.3_EP_100_PAT_15,32,0.01,0.3,100,15,0.984,0.9832,0.9835,0.9833,0.0903,0.0919,0.985,0.985,,0.9850906014905452
BS_128_LR_0.01_DO_0.4_EP_100_PAT_15,128,0.01,0.4,100,15,0.988,0.9877,0.9885,0.987,0.0857,0.0926,0.987,0.987,,0.9835901546146832
BS_32_LR_0.01_DO_0.2_EP_100_PAT_15,32,0.01,0.2,100,15,0.978,0.9772,0.9771,0.9773,0.0929,0.0937,0.9875,0.9875,,0.9770733494392185
BS_128_LR_0.0001_DO_0.4_EP_100_PAT_15,128,0.0001,0.4,100,15,0.976,0.9741,0.9723,0.976,0.0932,0.096,0.989,0.989,,0.973905535058589
BS_64_LR_0.01_DO_0.3_EP_100_PAT_15,64,0.01,0.3,100,15,0.979,0.978,0.9767,0.98,0.1407,0.0977,0.988,0.988,,0.9880077915835811
BS_64_LR_0.01_DO_0.4_EP_100_PAT_15,64,0.01,0.4,100,15,0.979,0.9794,0.9792,0.9797,0.1096,0.1011,0.989,0.989,,0.9711271125471466
BS_32_LR_0.01_DO_0.4_EP_100_PAT_15,32,0.01,0.4,100,15,0.984,0.9827,0.9814,0.9843,0.1314,0.1233,0.9845,0.9845,,0.9839415141577744
